,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio
BuyHold BTC/USDT,5.357616862503214,1.149953507910404,0.48830958789363277,1.810572896927702,2.9582212422505676,-0.28095276766937455,4.09304922478525
SMA-net BTC/USDT,0.7597130639922329,0.2634898110116115,0.36143778329844445,0.8260784240295556,1.297465989207633,-0.3871417617381497,0.6806029135906748
Agent BTC/USDT,2.0214985742470017,0.5802707057038521,0.2924606668109609,1.7107474747301956,2.773370533856841,-0.21592835603446764,2.6873297993859877
BuyHold ETH/USDT,1.1154089674592167,0.36351103124490924,0.621894905357171,0.8053528156364506,1.2465001451472688,-0.6375196811651251,0.5701957790237312
SMA-net ETH/USDT,0.5136674732332687,0.18714128585754075,0.3888746894426412,0.6332135472033542,0.9964219601951501,-0.3854109237147514,0.4855630039070894
Agent ETH/USDT,0.8309308380438745,0.28440535173858295,0.3567990965800827,0.8771995364954024,1.4221710572532533,-0.36183609743783707,0.7860060224849275
BuyHold SOL/USDT,14.783783783783734,2.1322638956384963,0.9293156044350503,1.6823985901750798,2.846068357492946,-0.5976638546398446,3.5676641294016513
SMA-net SOL/USDT,1.3215870330747213,0.41701222954874884,0.6442241396756804,0.8553951422381189,1.4243533787819727,-0.6497089510974248,0.6418446734408886
Agent SOL/USDT,4.0292227318611635,0.9512083595964032,0.543901188936137,1.497092592863458,2.5087641083551575,-0.36194365596067035,2.628056450034211
BuyHold BNB/USDT,1.7036415711947677,0.5092266054614027,0.5130551926628961,1.0569585685375023,1.620924218014284,-0.4101236698303141,1.241641589894316
SMA-net BNB/USDT,0.9644884525924984,0.322379406941949,0.3969142679258042,0.8992467440720315,1.4612584783252893,-0.35646773049110486,0.9043719230848962
Agent BNB/USDT,1.0047253759414065,0.3335215506142124,0.3068670531394628,1.089514115928255,1.7507280703892822,-0.22683544497876593,1.4703237875607729
